work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size
2024,SE,FT,AI Engineer,202730,USD,US,0,US,M
2024,SE,FT,AI Engineer,92118,USD,US,0,US,M
2024,SE,FT,Data Engineer,130500,USD,US,0,US,M
2024,SE,FT,Data Engineer,96000,USD,US,0,US,M
2024,SE,FT,Machine Learning Engineer,190000,USD,US,0,US,M
2024,SE,FT,Machine Learning Engineer,160000,USD,US,0,US,M
2024,MI,FT,ML Engineer,400000,USD,US,0,US,M
2024,MI,FT,ML Engineer,65000,USD,US,0,US,M
2024,EN,FT,Data Analyst,101520,USD,US,0,US,M
2024,EN,FT,Data Analyst,45864,USD,US,0,US,M
2024,SE,FT,Data Engineer,172469,USD,US,0,US,M
2024,SE,FT,Data Engineer,114945,USD,US,0,US,M
2024,EX,FT,NLP Engineer,200000,USD,US,0,US,M
2024,EX,FT,NLP Engineer,150000,USD,US,0,US,M
2024,MI,FT,Data Scientist,156450,USD,US,100,US,M
2024,MI,FT,Data Scientist,119200,USD,US,100,US,M
2024,SE,FT,Data Analyst,170000,USD,US,0,US,M
2024,SE,FT,Data Analyst,130000,USD,US,0,US,M
2024,SE,FT,Applied Scientist,222200,USD,US,0,US,L
2024,SE,FT,Applied Scientist,136000,USD,US,0,US,L
2024,MI,FT,Data Manager,128000,USD,US,0,US,M
2024,MI,FT,Data Manager,81500,USD,US,0,US,M
2024,SE,FT,Data Architect,93838,USD,US,0,US,M
2024,SE,FT,Data Architect,69535,USD,US,0,US,M
2024,EN,FT,Data Analyst,75000,USD,US,0,US,M
2024,EN,FT,Data Analyst,65000,USD,US,0,US,M
2024,MI,FT,Data Operations Manager,150000,USD,US,0,US,M
2024,MI,FT,Data Operations Manager,125000,USD,US,0,US,M
2024,MI,FT,Research Scientist,260570,USD,US,0,US,M
2024,MI,FT,Research Scientist,167030,USD,US,0,US,M
2024,EN,FT,Data Engineer,120000,USD,US,0,US,M
2024,EN,FT,Data Engineer,100000,USD,US,0,US,M
