work_year,experience_level,employment_type,job_title,employee_residence,remote_ratio,company_location,company_size,salary_usd
2024,SE,FT,AI Engineer,US,0,US,M,202730
2024,SE,FT,AI Engineer,US,0,US,M,92118
2024,SE,FT,Data Engineer,US,0,US,M,130500
2024,SE,FT,Data Engineer,US,0,US,M,96000
2024,SE,FT,Machine Learning Engineer,US,0,US,M,190000
2024,SE,FT,Machine Learning Engineer,US,0,US,M,160000
2024,MI,FT,ML Engineer,US,0,US,M,400000
2024,MI,FT,ML Engineer,US,0,US,M,65000
2024,EN,FT,Data Analyst,US,0,US,M,101520
2024,EN,FT,Data Analyst,US,0,US,M,45864
2024,SE,FT,Data Engineer,US,0,US,M,172469
2024,SE,FT,Data Engineer,US,0,US,M,114945
2024,EX,FT,NLP Engineer,US,0,US,M,200000
2024,EX,FT,NLP Engineer,US,0,US,M,150000
2024,MI,FT,Data Scientist,US,100,US,M,156450
2024,MI,FT,Data Scientist,US,100,US,M,119200
2024,SE,FT,Data Analyst,US,0,US,M,170000
2024,SE,FT,Data Analyst,US,0,US,M,130000
2024,SE,FT,Applied Scientist,US,0,US,L,222200
2024,SE,FT,Applied Scientist,US,0,US,L,136000
2024,MI,FT,Data Manager,US,0,US,M,128000
2024,MI,FT,Data Manager,US,0,US,M,81500
2024,SE,FT,Data Architect,US,0,US,M,93838
2024,SE,FT,Data Architect,US,0,US,M,69535
2024,EN,FT,Data Analyst,US,0,US,M,75000
2024,EN,FT,Data Analyst,US,0,US,M,65000
2024,MI,FT,Data Operations Manager,US,0,US,M,150000
2024,MI,FT,Data Operations Manager,US,0,US,M,125000
2024,MI,FT,Research Scientist,US,0,US,M,260570
2024,MI,FT,Research Scientist,US,0,US,M,167030
2024,EN,FT,Data Engineer,US,0,US,M,120000
2024,EN,FT,Data Engineer,US,0,US,M,100000
2024,SE,FT,Data Engineer,US,100,US,M,190000
2024,SE,FT,Data Engineer,US,100,US,M,155000
2024,SE,FT,Data Analyst,US,100,US,M,174000
2024,SE,FT,Data Analyst,US,100,US,M,116000
2024,MI,FT,Data Analyst,US,0,US,M,100000
2024,MI,FT,Data Analyst,US,0,US,M,80000
2024,MI,FT,Data Analyst,US,0,US,M,145000
2024,MI,FT,Data Analyst,US,0,US,M,95000
2024,MI,FT,Data Scientist,AU,0,AU,S,120000
2024,MI,FT,Data Scientist,AU,0,AU,S,70000
2024,MI,CT,Data Scientist,US,0,US,M,130000
2024,MI,CT,Data Scientist,US,0,US,M,110000
2024,MI,FT,Data Science Manager,US,0,US,M,240000
2024,MI,FT,Data Science Manager,US,0,US,M,180000
2024,SE,FT,Business Intelligence Engineer,US,0,US,M,202800
2024,SE,FT,Business Intelligence Engineer,US,0,US,M,115000
2024,SE,FT,Data Architect,GB,0,GB,M,100311.1912
2024,SE,FT,Data Architect,GB,0,GB,M,56425.04504
2024,SE,FT,Data Analyst,CA,0,CA,M,65745.63795
2024,SE,FT,Data Analyst,CA,0,CA,M,54788.03162
2024,MI,FT,Data Analyst,US,0,US,M,112300
